#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2020-06-22"
#curie_map:
#  CHEBI: "http://purl.obolibrary.org/obo/CHEBI_"
#  MESH: "http://id.nlm.nih.gov/mesh/"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
CHEBI:132365	EC 1.14.11.2 (procollagen-proline dioxygenase) inhibitor	owl:equivalentClass	MESH:D064800	Prolyl-Hydroxylase Inhibitors	Lexical|Stemming	CHEBI	MESH	rdf_matcher	0.8888888888888888	oio:hasRelatedSynonym	oio:hasRelatedSynonym	chebi_ontology	Chemical Actions and Uses	proline hydroxylase inhibitor	unique	.
CHEBI:132365	EC 1.14.11.2 (procollagen-proline dioxygenase) inhibitor	owl:equivalentClass	MESH:D064800	Prolyl-Hydroxylase Inhibitors	Lexical|Stemming	CHEBI	MESH	rdf_matcher	0.8888888888888888	oio:hasRelatedSynonym	oio:hasRelatedSynonym	chebi_ontology	Chemical Actions and Uses	proline hydroxylase inhibitor	unique	.
CHEBI:132365	EC 1.14.11.2 (procollagen-proline dioxygenase) inhibitor	owl:equivalentClass	MESH:D064800	Prolyl-Hydroxylase Inhibitors	Lexical	CHEBI	MESH	rdf_matcher	0.9187896968583876	oio:hasRelatedSynonym	oio:hasRelatedSynonym	chebi_ontology	Chemical Actions and Uses	proline hydroxylase inhibitors	unique	.
CHEBI:132717	bleaching agent	owl:equivalentClass	MESH:D057886	Bleaching Agents	Lexical|Stemming	CHEBI	MESH	rdf_matcher	0.9696969696969697	rdfs:label	rdfs:label	chebi_ontology	Chemical Actions and Uses	bleaching ag	unique	.
CHEBI:132992	radiosensitizing agent	owl:equivalentClass	MESH:D011838	Radiation-Sensitizing Agents	Lexical|Stemming	CHEBI	MESH	rdf_matcher	0.9411764705882353	rdfs:label	oio:hasRelatedSynonym	chebi_ontology	Chemical Actions and Uses	radiosensitizing ag	unique	.
CHEBI:132992	radiosensitizing agent	owl:equivalentClass	MESH:D011838	Radiation-Sensitizing Agents	Lexical|Stemming	CHEBI	MESH	rdf_matcher	0.8888888888888888	oio:hasRelatedSynonym	oio:hasRelatedSynonym	chebi_ontology	Chemical Actions and Uses	radiosensitizing ag	unique	.
CHEBI:132992	radiosensitizing agent	owl:equivalentClass	MESH:D011838	Radiation-Sensitizing Agents	Lexical	CHEBI	MESH	rdf_matcher	0.9187896968583876	oio:hasRelatedSynonym	oio:hasRelatedSynonym	chebi_ontology	Chemical Actions and Uses	radiosensitizing agents	unique	.
CHEBI:137431	antihypotensive agent	owl:equivalentClass	MESH:D014662	Vasoconstrictor Agents	Lexical|Stemming	CHEBI	MESH	rdf_matcher	0.8888888888888888	oio:hasRelatedSynonym	oio:hasRelatedSynonym	chebi_ontology	Chemical Actions and Uses	vasopressor ag	many_to_one	.
CHEBI:137431	antihypotensive agent	owl:equivalentClass	MESH:D014662	Vasoconstrictor Agents	Lexical|Stemming	CHEBI	MESH	rdf_matcher	0.8888888888888888	oio:hasRelatedSynonym	oio:hasRelatedSynonym	chebi_ontology	Chemical Actions and Uses	vasopressor ag	many_to_one	.
CHEBI:137431	antihypotensive agent	owl:equivalentClass	MESH:D014662	Vasoconstrictor Agents	Lexical	CHEBI	MESH	rdf_matcher	0.9187896968583876	oio:hasRelatedSynonym	oio:hasRelatedSynonym	chebi_ontology	Chemical Actions and Uses	vasopressor agents	many_to_one	.
CHEBI:138015	endocrine disruptor	owl:equivalentClass	MESH:D052244	Endocrine Disruptors	Lexical|Stemming	CHEBI	MESH	rdf_matcher	0.9696969696969697	rdfs:label	rdfs:label	chebi_ontology	Chemical Actions and Uses	endocrine disruptor	unique	.
CHEBI:138015	endocrine disruptor	owl:equivalentClass	MESH:D052244	Endocrine Disruptors	Lexical|Stemming	CHEBI	MESH	rdf_matcher	0.8888888888888888	oio:hasRelatedSynonym	oio:hasRelatedSynonym	chebi_ontology	Chemical Actions and Uses	endocrine disrupting chem	unique	.
CHEBI:138015	endocrine disruptor	owl:equivalentClass	MESH:D052244	Endocrine Disruptors	Lexical|Stemming	CHEBI	MESH	rdf_matcher	0.8888888888888888	oio:hasRelatedSynonym	oio:hasRelatedSynonym	chebi_ontology	Chemical Actions and Uses	endocrine disrupting chem	unique	.
CHEBI:138015	endocrine disruptor	owl:equivalentClass	MESH:D052244	Endocrine Disruptors	Lexical	CHEBI	MESH	rdf_matcher	0.9187896968583876	oio:hasRelatedSynonym	oio:hasRelatedSynonym	chebi_ontology	Chemical Actions and Uses	endocrine disrupting chemicals	unique	.
CHEBI:138015	endocrine disruptor	owl:equivalentClass	MESH:D052244	Endocrine Disruptors	Lexical|Stemming	CHEBI	MESH	rdf_matcher	0.9411764705882353	oio:hasRelatedSynonym	rdfs:label	chebi_ontology	Chemical Actions and Uses	endocrine disruptor	unique	.
CHEBI:138015	endocrine disruptor	owl:equivalentClass	MESH:D052244	Endocrine Disruptors	Lexical	CHEBI	MESH	rdf_matcher	0.9576762876752065	oio:hasRelatedSynonym	rdfs:label	chebi_ontology	Chemical Actions and Uses	endocrine disruptors	unique	.
